index,code,year,period,id,Country,population,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
5264,EEA_3161-01-1,2009,2009-01--2009-12,FRDR185,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5273,EEA_3161-02-2,2009,2009-01--2009-12,FRDR182,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5285,EEA_3161-03-3,2008,2007-12--2008-02,FRFR163,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5286,EEA_3161-02-2,2008,2008-01--2008-12,FRFR163,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5300,EEA_3161-02-2,2007,2007-01--2007-12,UKSC010465,United Kingdom,274.70898193692403,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5312,EEA_3161-01-1,2009,2009-01--2009-12,FRFR281,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5321,EEA_3161-01-1,2009,2009-01--2009-12,FRFRR281_4,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5325,EEA_3161-02-2,2009,2009-01--2009-12,FRFR179,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5329,EEA_31615-01-7,2009,2009-01--2009-12,FRFR178,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
5342,EEA_3161-01-1,2009,2009-01--2009-12,FRFR229,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5344,EEA_3161-05-5,2009,2009-01--2009-12,FRFR229,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
